,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08060426712036133,0.002470327754456289,0.006156301498413086,0.00039904600130714424,True,0.0,,10,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': None, 'n_estimators': 10}",0.7343524998856411,0.7227269014791387,0.722876118906002,0.7647075557578515,0.7546170155204167,0.73985601830981,0.017014689502840446,31
1,0.39084782600402834,0.008644102323875786,0.023494672775268555,0.002150514857367809,True,0.0,,50,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': None, 'n_estimators': 50}",0.7960683408810212,0.7618576115982654,0.7605791433527245,0.805272070138934,0.7908524513338547,0.78292592346096,0.018320237973705595,27
2,0.7741946220397949,0.03777593391329564,0.04469799995422363,0.0034119741010816013,True,0.0,,100,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': None, 'n_estimators': 100}",0.8049819312931705,0.7757091485009754,0.7636485857115187,0.8160272666189826,0.8129252663238312,0.7946584396896956,0.02105974776109708,24
3,1.5351153373718263,0.046663563024718344,0.08733606338500977,0.006903184603980249,True,0.0,,200,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': None, 'n_estimators': 200}",0.8182235487855083,0.7837783612052802,0.7747753482673143,0.818753928517242,0.8200640241245073,0.8031190421799703,0.019683267659897852,23
4,0.036448001861572266,0.0018231766947265917,0.003100156784057617,0.0002227274158043193,True,0.0,5,10,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 10}",0.8778283244133389,0.8329514947633568,0.8171534030194412,0.877502330017123,0.871583295318066,0.8554037695062652,0.025377861503422725,7
5,0.1805215835571289,0.004610279325803643,0.009897899627685548,0.0008715790148031372,True,0.0,5,50,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 50}",0.8788095238095239,0.8347696421469291,0.8198150554202603,0.8771866939766348,0.8742541744159327,0.8569670179538562,0.024729609588010022,5
6,0.36264934539794924,0.010615510588042061,0.017520952224731445,0.0015906156169781674,True,0.0,5,100,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 100}",0.8784570696674443,0.8380588199087139,0.8178832899155366,0.877836660381039,0.8742417227651269,0.8572955125275723,0.024820547662251728,2
7,0.7295131683349609,0.025965481043618698,0.033219432830810545,0.0031319323556322927,True,0.0,5,200,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 200}",0.8788774529984904,0.8379493286112005,0.8194668425141842,0.8787041853609902,0.8736468734470811,0.8577289365863893,0.02447783591714226,1
8,0.058643245697021486,0.008286175964420621,0.004133749008178711,0.00031463305597063604,True,0.0,10,10,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 10, 'n_estimators': 10}",0.8603584008050867,0.8252589913069829,0.8015994398124874,0.8713524394737413,0.8482590894220963,0.841365672164079,0.025092738232727955,16
9,0.2722660541534424,0.008359881603262032,0.014900779724121094,0.0012657915682921577,True,0.0,10,50,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 10, 'n_estimators': 50}",0.8646937468551301,0.8285452098445105,0.8131875844688339,0.8798507705312439,0.8604164284816795,0.8493387480362797,0.024611998567053754,13
