,predus_fscore,predus_mcc,ispred_fscore,ispred_mcc,dockpred_fscore,dockpred_mcc,logisticregresion_fscore,logisticregresion_mcc,linearregression_fscore,linearregression_mcc,randomforest_fscore,randomforest_mcc
1A14,0.0,-0.081802282799898,0.3137254901960784,0.2701628024049263,0.0,-0.081802282799898,0.19607843137254902,0.13817589545311718,0.19607843137254902,0.13817589545311718,0.0784313725490196,0.006188988501308072
1A2Y,0.15384615384615385,0.011668206323248921,0.4102564102564102,0.32282037494322013,0.15384615384615385,0.011668206323248921,0.4102564102564102,0.32282037494322013,0.35897435897435903,0.2605899412192259,0.2051282051282051,0.07389864004724316
1AHW,0.0425531914893617,-0.08374051692340723,0.2127659574468085,0.11323717661583127,0.0,-0.13298494030821686,0.0,-0.13298494030821686,0.0,-0.13298494030821686,0.1276595744680851,0.01474832984621202
1AR1,0.0,-0.09766089807495988,0.0,-0.09766089807495988,0.045454545454545456,-0.043714878185934426,0.0,-0.09766089807495988,0.0,-0.09766089807495988,0.09090909090909091,0.010231141703091036
1BGX,0.25531914893617025,0.20550262706453903,0.06382978723404256,-0.00047482122704375934,0.2340425531914894,0.18261624392102985,0.10638297872340424,0.045297945059974636,0.12765957446808512,0.06818432820348384,0.1702127659574468,0.11395709449050223
1BQL,0.0,-0.16151457061744967,0.21621621621621623,0.10353498116503183,0.0,-0.16151457061744967,0.10810810810810811,-0.028989794726208915,0.10810810810810811,-0.028989794726208915,0.05405405405405406,-0.09525218267182929
1BVK,0.09756097560975609,-0.07324553945808804,0.39024390243902435,0.2817136133003386,0.19512195121951217,0.04507417812805418,0.34146341463414637,0.2225537545072675,0.34146341463414637,0.2225537545072675,0.2926829268292683,0.1633938957141964
1C08,0.24390243902439027,0.105579796532223,0.19512195121951217,0.0465109235824771,0.24390243902439027,0.105579796532223,0.24390243902439027,0.105579796532223,0.24390243902439027,0.105579796532223,0.34146341463414637,0.22371754243171482
1E6J,0.0,-0.09854117566542182,0.4878048780487806,0.49610384990177886,0.0,-0.09854117566542182,0.3902439024390244,0.37717484478833874,0.3902439024390244,0.37717484478833874,0.2926829268292683,0.25824583967489856
1EGJ,0.6285714285714286,0.6262025468086421,0.4571428571428572,0.4021891209727288,0.5714285714285715,0.5515314048633376,0.5142857142857142,0.47686026291803324,0.5714285714285715,0.5515314048633376,0.4,0.32751797902742436
1EO8,0.0,-0.07650454079879052,0.12765957446808512,0.0717230069988661,0.12765957446808512,0.0717230069988661,0.1702127659574468,0.12113218959808497,0.1702127659574468,0.12113218959808497,0.0851063829787234,0.02231382439964723
1EZV,0.0,-0.14315821198530881,0.0,-0.14315821198530881,0.0,-0.14315821198530881,0.0,-0.14315821198530881,0.0,-0.14315821198530881,0.0,-0.14315821198530881
1FE8,0.21739130434782608,0.105941086175341,0.13043478260869565,0.004330017146131103,0.391304347826087,0.30916322423376075,0.2608695652173913,0.15674662068994594,0.2608695652173913,0.15674662068994594,0.2608695652173913,0.15674662068994594
1FNS,0.2631578947368421,0.20600354948448854,0.4736842105263157,0.4597657073269727,0.21052631578947367,0.1425630100238675,0.42105263157894735,0.39632516786635164,0.42105263157894735,0.39632516786635164,0.21052631578947367,0.1425630100238675
1FSK,0.09302325581395349,-0.03992160503136119,0.5116279069767441,0.4611995949675674,0.046511627906976744,-0.09560173836457547,0.4186046511627907,0.34983932830113884,0.37209302325581395,0.29415919496792453,0.2325581395348837,0.12711879496828168
1G9M,0.045454545454545456,-0.016647664020422816,0.2727272727272727,0.2592546329472587,0.5,0.5351569299149401,0.5,0.5351569299149401,0.5,0.5351569299149401,0.18181818181818182,0.14889371416018607
1HYS,0.22727272727272727,0.25048736010761813,0.27272727272727276,0.31023663866539863,0.3636363636363636,0.42973519578095953,0.3636363636363636,0.42973519578095953,0.3636363636363636,0.42973519578095953,0.1818181818181818,0.19073808154983765
1IQD,0.34146341463414637,0.2495672529544459,0.43902439024390244,0.36571804992695534,0.7317073170731707,0.7141704408444836,0.6829268292682927,0.6560950423582288,0.6829268292682927,0.6560950423582288,0.2926829268292683,0.1914918544681912
1JHL,0.17142857142857143,0.06366604953114399,0.4,0.350450056428189,0.5142857142857142,0.4938420598767115,0.4571428571428572,0.4221460581524502,0.4571428571428572,0.4221460581524502,0.2285714285714286,0.13536205125540524
1JPS,0.04081632653061224,-0.09428090415820634,0.4489795918367347,0.37712361663282534,0.0,-0.1414213562373095,0.20408163265306123,0.09428090415820634,0.20408163265306123,0.09428090415820634,0.12244897959183672,0.0
1MHP,0.4878048780487804,0.44359094224933326,0.29268292682926833,0.21292365227967996,0.5365853658536585,0.5012577647417467,0.4878048780487804,0.44359094224933326,0.4878048780487804,0.44359094224933326,0.2439024390243902,0.15525682978726665
1MLC,0.052631578947368425,-0.10421364855284106,0.4210526315789474,0.34470668367478197,0.0,-0.16834512458535864,0.2631578947368421,0.15231225557722924,0.2631578947368421,0.15231225557722924,0.2105263157894737,0.08818077954471167
1N8Z,0.07272727272727272,0.03305792312417239,0.07272727272727272,0.03305792312417239,0.1818181818181818,0.15748856366866237,0.1818181818181818,0.15748856366866237,0.1818181818181818,0.15748856366866237,0.10909090909090909,0.07453480330566906
1NCA,0.0,-0.0874449372730461,0.4528301886792453,0.41692496878398766,0.0,-0.0874449372730461,0.3396226415094339,0.29083249226972924,0.3018867924528302,0.2488016667649764,0.18867924528301888,0.12270919025071797
1OAZ,0.5238095238095238,0.4316998383664659,0.3333333333333333,0.1931566513962427,0.7142857142857143,0.6702430253366891,0.6666666666666666,0.6106072285941333,0.6666666666666666,0.6106072285941333,0.38095238095238104,0.2527924481387985
1OB1,0.16666666666666669,-0.010537055489510786,0.5,0.41847163229771406,0.16666666666666669,-0.010537055489510786,0.3888888888888889,0.2754687363686391,0.33333333333333337,0.20396728840410164,0.2222222222222222,0.060964392475026684
1ORS,0.2222222222222222,0.14615553670609938,0.16666666666666669,0.07416848131354296,0.05555555555555555,-0.06980562947156985,0.2222222222222222,0.14615553670609938,0.16666666666666669,0.07416848131354296,0.2777777777777778,0.21814259209865577
1QFU,0.0,-0.08699872865451286,0.0392156862745098,-0.042783914256084445,0.1568627450980392,0.08986052893920078,0.11764705882352941,0.04564571454077237,0.11764705882352941,0.04564571454077237,0.11764705882352941,0.04564571454077237
1UJ3,0.041666666666666664,-0.08719440484883448,0.2916666666666667,0.2011992776705793,0.0,-0.1352600186020701,0.16666666666666666,0.0570024364108724,0.16666666666666666,0.0570024364108724,0.25,0.15313366391734365
1V7M,0.09523809523809526,-0.05283767456030949,0.2380952380952381,0.11741705457846552,0.04761904761904763,-0.10958925093990116,0.2380952380952381,0.11741705457846552,0.2380952380952381,0.11741705457846552,0.14285714285714282,0.003913901819282184
1WEJ,0.0,-0.19058753985170535,0.4571428571428572,0.40427659968543556,0.0,-0.19058753985170535,0.05714285714285715,-0.11622952240956272,0.05714285714285715,-0.11622952240956272,0.1142857142857143,-0.04187150496742011
1XIW,0.0,-0.27875204519913876,0.049999999999999996,-0.2138762495134057,0.049999999999999996,-0.2138762495134057,0.049999999999999996,-0.2138762495134057,0.049999999999999996,-0.2138762495134057,0.19999999999999998,-0.019248862456206512
1YY9,0.03448275862068966,-0.01161352198560493,0.0,-0.05032526193762136,0.03448275862068966,-0.01161352198560493,0.0,-0.05032526193762136,0.0,-0.05032526193762136,0.06896551724137932,0.0270982179664115
1ZTX,0.052631578947368425,-0.16039238741310596,0.052631578947368425,-0.16039238741310596,0.052631578947368425,-0.16039238741310596,0.10526315789473685,-0.09400045655768095,0.10526315789473685,-0.09400045655768095,0.052631578947368425,-0.16039238741310596
2ADF,0.38095238095238093,0.32322073535920504,0.2857142857142857,0.2105498266361326,0.6666666666666667,0.6612334615284224,0.6190476190476191,0.6048980071668861,0.5714285714285714,0.5485625528053499,0.33333333333333337,0.26688528099766884
2AEP,0.0,-0.08542741495965599,0.03773584905660377,-0.043476452256253496,0.11320754716981132,0.04042547315055149,0.03773584905660377,-0.043476452256253496,0.03773584905660377,-0.043476452256253496,0.1509433962264151,0.08237643585395399
2ARJ,0.1904761904761905,0.014338693934332849,0.09523809523809525,-0.1034434348119727,0.09523809523809525,-0.1034434348119727,0.04761904761904762,-0.16233449918512546,0.04761904761904762,-0.16233449918512546,0.14285714285714288,-0.044552370438819926
2BDN,0.10526315789473684,-0.23890440011532088,0.0,-0.3859224924939799,0.15789473684210528,-0.1653953539259914,0.15789473684210528,-0.1653953539259914,0.15789473684210528,-0.1653953539259914,0.36842105263157887,0.12864083083132663
2DD8,0.0425531914893617,-0.09490341442355302,0.5957446808510638,0.5520169950710964,0.3404255319148936,0.25343834453510433,0.5531914893617021,0.5022538866484311,0.5531914893617021,0.5022538866484311,0.2978723404255319,0.203675236112439
2EIZ,0.2380952380952381,0.09076352477286181,0.09523809523809525,-0.0825122952480562,0.28571428571428575,0.14852213144650114,0.2380952380952381,0.09076352477286181,0.2380952380952381,0.09076352477286181,0.2380952380952381,0.09076352477286181
2FD6,0.0,-0.08922336200923081,0.0,-0.08922336200923081,0.046511627906976744,-0.03363034414194084,0.0,-0.08922336200923081,0.0,-0.08922336200923081,0.09302325581395349,0.021962673725349123
2J4W,0.2,-0.4134344328947824,0.6,0.3263956049169334,0.26666666666666666,-0.29012942659282975,0.5333333333333333,0.2030905986149808,0.4666666666666666,0.07978559231302818,0.4666666666666666,0.07978559231302818
2J88,0.2926829268292683,0.30272041673041383,0.3414634146341463,0.3637560623228789,0.2926829268292683,0.30272041673041383,0.3902439024390244,0.4247917079153439,0.3902439024390244,0.4247917079153439,0.14634146341463414,0.11961347995301873
2JEL,0.0,-0.2735506022160966,0.7027027027027029,0.6424294445984087,0.3243243243243243,0.14920941939059815,0.6486486486486486,0.5719694409972929,0.6486486486486486,0.5719694409972929,0.5945945945945945,0.5015094373961771
2NY7,0.07407407407407407,-0.022650637551170874,0.33333333333333337,0.26751439251611614,0.25925925925925924,0.184610098211177,0.2962962962962963,0.22606224536364658,0.2962962962962963,0.22606224536364658,0.18518518518518517,0.10170580390623785
2NYY,0.02941176470588235,0.00026500115301548603,0.14705882352941177,0.1321030747782198,0.0,-0.03269451725328559,0.1176470588235294,0.09914355637191873,0.14705882352941177,0.1321030747782198,0.0588235294117647,0.033224519559316566
2OZ4,0.08163265306122448,-0.0053046732891088196,0.08163265306122448,-0.0053046732891088196,0.5714285714285714,0.5548688260407825,0.32653061224489793,0.27478207637583685,0.32653061224489793,0.27478207637583685,0.16326530612244897,0.0880575765992064
2Q8A,0.34615384615384615,0.29064768427629106,0.3846153846153846,0.3337231615869824,0.3846153846153846,0.3337231615869824,0.4230769230769231,0.37679863889767373,0.3846153846153846,0.3337231615869824,0.23076923076923075,0.16142125234421703
2R29,0.0,-0.24777959573256778,0.10256410256410256,-0.1171566566778989,0.10256410256410256,-0.1171566566778989,0.10256410256410256,-0.1171566566778989,0.10256410256410256,-0.1171566566778989,0.20512820512820512,0.013466282376769988
2R56,0.12765957446808512,-0.02755193843889919,0.25531914893617025,0.12398372297504635,0.21276595744680848,0.0734718358370645,0.21276595744680848,0.0734718358370645,0.21276595744680848,0.0734718358370645,0.3404255319148936,0.22500749725101005
2UZI,0.6363636363636364,0.5938055051943641,0.6363636363636364,0.5938055051943641,0.6363636363636364,0.5938055051943641,0.6363636363636364,0.5938055051943641,0.6363636363636364,0.5938055051943641,0.2272727272727273,0.1112547560522172
2VXQ,0.3684210526315789,0.22084711628963774,0.47368421052631576,0.3567530340063379,0.5263157894736841,0.42470599286468796,0.5263157894736841,0.42470599286468796,0.5263157894736841,0.42470599286468796,0.47368421052631576,0.3567530340063379
2W9E,0.3684210526315789,0.23448942259776262,0.31578947368421056,0.16778122478977842,0.47368421052631576,0.367905818213731,0.3684210526315789,0.23448942259776262,0.3684210526315789,0.23448942259776262,0.2105263157894737,0.034364829173810035
2XQB,0.4888888888888889,0.3480134145937942,0.3555555555555555,0.1778250362971425,0.3555555555555555,0.1778250362971425,0.3555555555555555,0.1778250362971425,0.3555555555555555,0.1778250362971425,0.22222222222222224,0.007636658000490782
2XQY,0.0,-0.06859955541855348,0.037037037037037035,-0.027027193262648134,0.0,-0.06859955541855348,0.0,-0.06859955541855348,0.0,-0.06859955541855348,0.0,-0.06859955541855348
2XRA,0.3255813953488372,0.25840497844525095,0.3255813953488372,0.25840497844525095,0.5581395348837209,0.529088379192436,0.5116279069767441,0.474951699042999,0.5116279069767441,0.474951699042999,0.27906976744186046,0.20426829829581392
2XWT,0.10714285714285715,-0.015240998561973753,0.35714285714285715,0.2692576412615363,0.39285714285714285,0.3099003040934663,0.4285714285714286,0.35054296692539627,0.4642857142857143,0.3911856297573263,0.2142857142857143,0.10668698993381627
2YPV,0.2553191489361702,0.1756286030190495,0.2978723404255319,0.22407787281740799,0.3829787234042553,0.32097641241412495,0.3404255319148936,0.27252714261576644,0.3404255319148936,0.27252714261576644,0.3404255319148936,0.27252714261576644
2ZCH,0.18181818181818182,0.09759000729485331,0.22727272727272727,0.1504512612462322,0.045454545454545456,-0.060993754559283325,0.18181818181818182,0.09759000729485331,0.18181818181818182,0.09759000729485331,0.13636363636363635,0.04472875334347444
3B2U,0.1276595744680851,0.009898564515274978,0.1702127659574468,0.05939138709164986,0.425531914893617,0.3563483225498992,0.1276595744680851,0.009898564515274978,0.1276595744680851,0.009898564515274978,0.2127659574468085,0.10888420966802474
3B9K,0.186046511627907,0.005886326024502351,0.27906976744186046,0.1206696835022982,0.0,-0.22368038893108935,0.186046511627907,0.005886326024502351,0.186046511627907,0.005886326024502351,0.32558139534883723,0.17806136224119615
3BGF,0.09523809523809523,-0.021694616489693456,0.2857142857142857,0.20526444832556118,0.19047619047619047,0.09178491591793386,0.2857142857142857,0.20526444832556118,0.23809523809523808,0.14852468212174752,0.19047619047619047,0.09178491591793386
3CVH,0.0,-0.09186193920686564,0.125,0.051421768626234085,0.0,-0.09186193920686564,0.041666666666666664,-0.04410070326249906,0.0,-0.09186193920686564,0.16666666666666666,0.09918300457060067
3D85,0.28571428571428564,0.16048364886694433,0.19047619047619052,0.045040370117970754,0.28571428571428564,0.16048364886694433,0.28571428571428564,0.16048364886694433,0.28571428571428564,0.16048364886694433,0.09523809523809526,-0.07040290863100283
3EOA,0.2,0.1105077777477141,0.25,0.16995816451072485,0.2,0.1105077777477141,0.2,0.1105077777477141,0.2,0.1105077777477141,0.15,0.05105739098470335
3G04,0.19607843137254902,0.09552404873137822,0.27450980392156865,0.18436534508237196,0.3137254901960784,0.22878599325786883,0.39215686274509803,0.31762728960886255,0.39215686274509803,0.31762728960886255,0.23529411764705882,0.13994469690687508
3GJF,0.0,-0.08321225661855577,0.044444444444444446,-0.030869062939141656,0.0,-0.08321225661855577,0.08888888888888889,0.02147413074027246,0.08888888888888889,0.02147413074027246,0.08888888888888889,0.02147413074027246
3GRW,0.03225806451612904,-0.139714446427748,0.2903225806451613,0.16498195269659605,0.03225806451612904,-0.139714446427748,0.2580645161290323,0.12689490280605303,0.2580645161290323,0.12689490280605303,0.06451612903225808,-0.101627396537205
3HI1,0.0,-0.1078873306434093,0.03636363636363636,-0.06698982351092127,0.2909090909090909,0.219292726416495,0.18181818181818182,0.09660020501903088,0.18181818181818182,0.09660020501903088,0.14545454545454545,0.05570269788654284
3HI6,0.4888888888888889,0.41775154539336523,0.4888888888888889,0.41775154539336523,0.4888888888888889,0.41775154539336523,0.5333333333333333,0.4698136749243702,0.5333333333333333,0.4698136749243702,0.26666666666666666,0.15744089773834036
3HMX,0.16,0.09241628565701214,0.0,-0.08991854820682263,0.0,-0.08991854820682263,0.0,-0.08991854820682263,0.0,-0.08991854820682263,0.08,0.0012488687250947587
3IU3,0.04545454545454545,-0.18162485692350117,0.0,-0.23819653367016547,0.2727272727272727,0.10123352680982033,0.22727272727272727,0.044661850063156025,0.22727272727272727,0.044661850063156025,0.3636363636363636,0.21437688030314891
3JWD,0.12500000000000003,0.07253570287358149,0.16666666666666666,0.12104026841302927,0.0,-0.07297799374476187,0.041666666666666664,-0.02447342820531408,0.041666666666666664,-0.02447342820531408,0.041666666666666664,-0.02447342820531408
3KS0,0.5454545454545454,0.5242105950545827,0.5454545454545454,0.5242105950545827,0.18181818181818182,0.04032389192727559,0.5454545454545454,0.5242105950545827,0.48484848484848486,0.44356281120003144,0.36363636363636365,0.28226724349092913
3L5W,0.18181818181818182,0.05713351510732982,0.36363636363636365,0.29427673534734267,0.06060606060606061,-0.10096196505267872,0.18181818181818182,0.05713351510732982,0.12121212121212122,-0.021914224972674454,0.12121212121212122,-0.021914224972674454
3L5X,0.12121212121212122,-0.023762422826087874,0.24242424242424243,0.1346537293478313,0.06060606060606061,-0.10297049891304745,0.12121212121212122,-0.023762422826087874,0.12121212121212122,-0.023762422826087874,0.18181818181818182,0.055445653260871704
3LD8,0.13333333333333333,0.08851793561045776,0.13333333333333333,0.08851793561045776,0.044444444444444446,-0.017165074966286487,0.08888888888888889,0.03567643032208564,0.044444444444444446,-0.017165074966286487,0.044444444444444446,-0.017165074966286487
3LEV,0.05555555555555555,-0.032780675159055125,0.3333333333333333,0.3273754269174058,0.2222222222222222,0.1833129860868214,0.3888888888888889,0.39940664733269793,0.3888888888888889,0.39940664733269793,0.2777777777777778,0.2553442065021136
3LIZ,0.0,-0.08967443637714716,0.04081632653061224,-0.04339085631152282,0.0,-0.08967443637714716,0.0,-0.08967443637714716,0.0,-0.08967443637714716,0.0,-0.08967443637714716
3MA9,0.2692307692307692,0.15301841113520118,0.23076923076923075,0.1083880412207675,0.3846153846153846,0.2869095208785022,0.4230769230769231,0.3315398907929359,0.4615384615384615,0.3761702607073696,0.30769230769230765,0.19764878104963485
3MXW,0.0,-0.18332649509160823,0.5652173913043478,0.48852146025363796,0.17391304347826086,0.02339595270692905,0.43478260869565216,0.333479624404735,0.43478260869565216,0.333479624404735,0.34782608695652173,0.23011840050546634
