"residue","predus","ispred","dockpred","annotated"
"456_1A14",0.9521,0.1049,1,0
"458_1A14",0.6665,0.0979,0.823862,0
"454_1A14",1.0,0.0514,0.703836,0
"455_1A14",0.7979,0.0774,0.666428,0
"99_1A14",0.5625,0.5375,0.623528,0
"453_1A14",0.8567,0.102,0.540911,0
"414_1A14",0.1347,0.0123,0.539398,0
"155_1A14",0.6801,0.8342,0.538364,0
"412_1A14",0.0802,0.0276,0.506288,0
"457_1A14",0.7705,0.9817,0.501035,0
"413_1A14",0.0541,0.0117,0.491165,0
"124_1A14",0.0,0.0,0.483922,0
"82_1A14",0.114,0.0529,0.482888,0
"126_1A14",0.0448,0.0102,0.482251,0
"125_1A14",0.0422,0.0,0.482092,0
"83_1A14",0.1163,0.0141,0.479943,0
"184_1A14",0.0432,0.0,0.478749,0
"89_1A14",0.0837,0.0063,0.47859,0
"85_1A14",0.0624,0.0091,0.478192,0
"186_1A14",0.0,0.0,0.477555,0
"185_1A14",0.0,0.0,0.477555,0
"107_1A14",0.4287,0.03,0.467685,0
"154_1A14",0.5913,0.0776,0.459567,0
"144_1A14",0.4723,0.2483,0.39836,0
"102_1A14",0.2943,0.0,0.385148,0
"176_1A14",0.528,0.9294,0.380213,0
"98_1A14",0.4464,0.0688,0.375597,0
"104_1A14",0.3512,0.0308,0.374881,0
"173_1A14",0.9192,0.8806,0.354425,0
"463_1A14",0.2125,0.5812,0.350923,0
"137_1A14",0.5179,0.0108,0.348058,0
"169_1A14",0.5034,0.0318,0.345113,0
"206_1A14",0.4837,0.0976,0.321235,0
"452_1A14",0.5497,0.0755,0.319086,0
"411_1A14",0.0,0.0,0.295686,0
"451_1A14",0.648,0.0375,0.290274,0
"459_1A14",0.4686,0.2513,0.280564,0
"100_1A14",0.4848,0.0836,0.272365,0
"466_1A14",0.6574,0.1269,0.251353,0
"164_1A14",0.5153,0.0147,0.250796,0
"209_1A14",0.2222,0.0395,0.22453,0
"171_1A14",0.1799,0.0587,0.217765,0
"143_1A14",0.4744,0.0393,0.214104,0
"138_1A14",0.3222,0.0,0.213547,0
"146_1A14",0.2702,0.1012,0.20702,0
"211_1A14",0.9504,0.0456,0.205428,0
"399_1A14",0.3787,0.8939,0.199379,0
"108_1A14",0.4739,0.0505,0.196434,0
"437_1A14",0.2875,0.1979,0.192057,0
"461_1A14",0.4623,0.0765,0.188873,0
"172_1A14",0.5466,0.6206,0.188316,0
"101_1A14",0.1732,0.0,0.182585,0
"113_1A14",0.1556,0.0102,0.170169,0
"157_1A14",0.293,0.0,0.168338,0
"210_1A14",0.7337,0.1193,0.16595,0
"150_1A14",0.274,0.0825,0.162448,0
"153_1A14",0.1901,0.0532,0.160618,0
"170_1A14",0.3624,0.0228,0.160379,0
"175_1A14",0.0,0.0,0.148997,0
"97_1A14",0.0,0.0,0.145973,0
"214_1A14",0.9243,0.0262,0.143426,0
"163_1A14",0.2449,0.0568,0.14255,0
"195_1A14",0.197,0.0364,0.142391,0
"156_1A14",0.0,0.0,0.141595,0
"111_1A14",0.331,0.0227,0.141356,0
"115_1A14",0.312,0.0,0.140481,0
"165_1A14",0.1386,0.0078,0.134989,0
"392_1A14",0.0891,0.0144,0.134352,0
"147_1A14",0.221,0.1133,0.134273,0
"174_1A14",0.0,0.0,0.131009,0
