,predus_fpr,predus_tpr,ispred_fpr,ispred_tpr,dockpred_fpr,dockpred_tpr
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0028344294603512036,0.03360370799536501,0.0,0.0005793742757821553,0.0019265262738324587,0.02954808806488992
2,0.002856573440510197,0.03447276940903824,0.00298943732146416,0.04258400926998841,0.0020372461746274275,0.02954808806488992
3,0.0029008614008281847,0.03447276940903824,0.0096104873890033,0.11935110081112399,0.0020372461746274275,0.030127462340672075
4,0.0029008614008281847,0.03476245654692932,0.015522930091454638,0.17468134414831982,0.002081534134945415,0.030127462340672075
5,0.0029008614008281847,0.03563151796060255,0.020239597865320313,0.22103128621089224,0.002081534134945415,0.030417149478563152
6,0.0029008614008281847,0.03592120509849363,0.024557673996324098,0.2552143684820394,0.0021258220952634025,0.030417149478563152
7,0.00298943732146416,0.036210892236384705,0.02790141500033216,0.2824449594438007,0.0021258220952634025,0.03070683661645423
8,0.0030337252817821477,0.036210892236384705,0.03066941252020638,0.3038818076477404,0.0021479660754223965,0.03070683661645423
9,0.003078013242100135,0.036210892236384705,0.032883810536105756,0.3195249130938586,0.00217011005558139,0.030996523754345306
10,0.00316658916273611,0.03707995365005794,0.03549680019486703,0.33603707995365006,0.00217011005558139,0.032155272305909616
11,0.0031887331428951038,0.03765932792584009,0.037821918111561374,0.3496523754345307,0.002192254035740384,0.032155272305909616
12,0.0032108771230540977,0.03794901506373117,0.04010274806793773,0.36066048667439166,0.002192254035740384,0.03244495944380069
13,0.0032108771230540977,0.038238702201622246,0.04251644190526805,0.3725376593279258,0.0022365419960583715,0.03244495944380069
14,0.0032994530436900728,0.0388180764774044,0.04426581633782856,0.38383545770567784,0.0022365419960583715,0.03302433371958285
15,0.0033215970238490667,0.0388180764774044,0.046325206492614984,0.3951332560834299,0.0022586859762173655,0.03302433371958285
16,0.0033658849841670543,0.0388180764774044,0.04809672490533448,0.4052723059096176,0.0022586859762173655,0.033314020857473925
17,0.0033658849841670543,0.03910776361529548,0.050045395159325934,0.41135573580533025,0.002280829956376359,0.033314020857473925
18,0.0034101729444850418,0.03910776361529548,0.05146260988950154,0.4185979142526072,0.002280829956376359,0.03447276940903824
19,0.003498748865121017,0.03968713789107764,0.0530126885006311,0.4261297798377752,0.002302973936535353,0.03447276940903824
20,0.0035208928452800108,0.03968713789107764,0.054762062933191614,0.43105446118192353,0.002302973936535353,0.035052143684820396
21,0.0038530525476649174,0.043453070683661645,0.05609070174273124,0.4362688296639629,0.0023472618968533405,0.035052143684820396
