,predus_fscore,predus_mcc,ispred_fscore,ispred_mcc,dockpred_fscore,dockpred_mcc,logisticregresion_fscore,logisticregresion_mcc,linearregression_fscore,linearregression_mcc,randomforest_fscore,randomforest_mcc
1A14,0.0,-0.081802282799898,0.3137254901960784,0.2701628024049263,0.0,-0.081802282799898,0.19607843137254902,0.13817589545311718,0.19607843137254902,0.13817589545311718,0.0,-0.081802282799898
1A2Y,0.15384615384615385,0.011668206323248921,0.4102564102564102,0.32282037494322013,0.15384615384615385,0.011668206323248921,0.35897435897435903,0.2605899412192259,0.35897435897435903,0.2605899412192259,0.25641025641025644,0.1361290737712374
1AHW,0.0425531914893617,-0.08374051692340723,0.2127659574468085,0.11323717661583127,0.0,-0.13298494030821686,0.0425531914893617,-0.08374051692340723,0.0425531914893617,-0.08374051692340723,0.0851063829787234,-0.03449609353859761
1AR1,0.0,-0.09766089807495988,0.0,-0.09766089807495988,0.045454545454545456,-0.043714878185934426,0.0,-0.09766089807495988,0.0,-0.09766089807495988,0.045454545454545456,-0.043714878185934426
1BGX,0.25531914893617025,0.20550262706453903,0.06382978723404256,-0.00047482122704375934,0.2340425531914894,0.18261624392102985,0.10638297872340424,0.045297945059974636,0.10638297872340424,0.045297945059974636,0.0851063829787234,0.022411561916465438
1BQL,0.0,-0.16151457061744967,0.21621621621621623,0.10353498116503183,0.0,-0.16151457061744967,0.10810810810810811,-0.028989794726208915,0.10810810810810811,-0.028989794726208915,0.10810810810810811,-0.028989794726208915
1BVK,0.09756097560975609,-0.07324553945808804,0.39024390243902435,0.2817136133003386,0.19512195121951217,0.04507417812805418,0.34146341463414637,0.2225537545072675,0.2926829268292683,0.1633938957141964,0.34146341463414637,0.2225537545072675
1C08,0.24390243902439027,0.105579796532223,0.19512195121951217,0.0465109235824771,0.24390243902439027,0.105579796532223,0.24390243902439027,0.105579796532223,0.24390243902439027,0.105579796532223,0.14634146341463414,-0.012557949367268817
1E6J,0.0,-0.09854117566542182,0.4878048780487806,0.49610384990177886,0.0,-0.09854117566542182,0.4390243902439025,0.43663934734505877,0.4390243902439025,0.43663934734505877,0.14634146341463414,0.07985233200473837
1EGJ,0.6285714285714286,0.6262025468086421,0.4571428571428572,0.4021891209727288,0.5714285714285715,0.5515314048633376,0.5714285714285715,0.5515314048633376,0.5714285714285715,0.5515314048633376,0.4571428571428572,0.4021891209727288
